1272-128104-0000	MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL
1255-138279-0005	THIS WAS ALL THAT WAS POSITIVELY DISCOVERABLE THOUGH IT SEEMED HUMAN
1255-138279-0006	THE SHAPE WENT SLOWLY ALONG BUT WITHOUT MUCH EXERTION FOR THE SNOW THOUGH SUDDEN WAS NOT AS YET MORE THAN TWO INCHES DEEP
1255-138279-0007	AT THIS TIME SOME WORDS WERE SPOKEN ALOUD ONE
1255-138279-0008	TWO THREE
1255-138279-0009	FOUR FIVE
1255-138279-0010	BETWEEN EACH UTTERANCE THE LITTLE SHAPE ADVANCED ABOUT HALF A DOZEN YARDS
1255-138279-0011	HERE THE SPOT STOPPED AND DWINDLED SMALLER
1255-138279-0012	THEN A MORSEL OF SNOW FLEW ACROSS THE RIVER TOWARDS THE FIFTH WINDOW
1255-138279-0013	THE RIVER WOULD HAVE BEEN SEEN BY DAY TO BE OF THAT DEEP SMOOTH SORT WHICH RACES MIDDLE AND SIDES WITH THE SAME GLIDING PRECISION ANY IRREGULARITIES OF SPEED BEING IMMEDIATELY CORRECTED BY A SMALL WHIRLPOOL
1255-138279-0014	THE WINDOW WAS STRUCK AGAIN IN THE SAME MANNER
1255-138279-0015	THEN A NOISE WAS HEARD APPARENTLY PRODUCED BY THE OPENING OF THE WINDOW
1255-138279-0016	SAID THE BLURRED SPOT IN THE SNOW TREMULOUSLY
1255-138279-0017	I ASKED WHICH WAS YOUR WINDOW FORGIVE ME
1255-138279-0018	WELL I SAID THAT YOU MIGHT
1255-138279-0019	O MUST I IT IS WHEN SHALL WE BE MARRIED FRANK
1255-138279-0020	I HAVE MONEY
1255-138279-0021	AND WE LIVE IN TWO PARISHES DO WE WHAT THEN
1255-138279-0022	IF I SAID SO OF COURSE I WILL
1255-138279-0023	THE FACT IS I FORGOT TO ASK
1255-138279-0024	GOOD NIGHT FRANK GOOD NIGHT
1255-74899-0000	THINGS ARRANGE THEMSELVES
1255-74899-0001	BUT THE COUNTESS NEVER GAVE WAY AN INCH
1255-74899-0002	THE FOLLOWING WAS THE ANSWER WHICH SHE RETURNED TO THE NOTE WRITTEN TO HER BY AUNT JULIA
1255-74899-0003	I SHOULD NOT KNOW HOW TO DRINK WINE WITH THEM AND SHOULD DO A HUNDRED THINGS WHICH WOULD MAKE THEM THINK ME A BEAST
1255-74899-0004	BUT THE GIRL BEGGED FOR SOME DELAY
1255-74899-0005	IT WAS A MATTER THAT REQUIRED TO BE CONSIDERED
1255-74899-0006	PRIDE IN HIM MIGHT BE AS WEAK AS PRIDE IN THEM
1255-74899-0007	IF THEY WOULD PUT OUT THEIR HANDS TO HIM WHY SHOULD HE REFUSE TO PUT OUT HIS OWN
1255-74899-0008	OUR TAILOR RECEIVED HIM COURTEOUSLY HAVING LEARNED TO LIKE THE MAN UNDERSTANDING THAT HE HAD BEHAVED WITH HONESTY AND WISDOM IN REGARD TO HIS CLIENT AND RESPECTING HIM AS ONE OF THE WORKERS OF THE DAY BUT HE DECLARED THAT FOR THE LOVEL FAMILY AS A FAMILY HE DID NOT CARE FOR THEM PARTICULARLY
1255-74899-0009	THEY ARE POLES ASUNDER FROM ME HE SAID
1255-74899-0010	BUT BY YOUR GOOD FORTUNE AND MERIT IF YOU WILL ALLOW ME TO SAY SO YOU HAVE TRAVELLED FROM THE ONE POLE VERY FAR TOWARDS THE OTHER
1255-74899-0011	AT PRESENT I THINK THAT THE SENSE OF THE COUNTRY IS IN FAVOUR OF AN ARISTOCRACY OF BIRTH
1255-74899-0012	WHEN YOU WERE FOREMOST AMONG THEM DID YOU NOT WISH TO BE THEIR MASTER
1255-74899-0013	IT IS ONE TO WHICH ALL LEGISLATIVE AND ALL HUMAN EFFORTS SHOULD AND MUST TEND
1255-74899-0014	WHEN YOU MAKE MUCH WATER BOIL MISTER THWAITE SOME OF IT WILL PROBABLY BOIL OVER
1255-74899-0015	I QUITE AGREE WITH YOU THAT THE SILK GOWNS SHOULD BE KEPT FOR THEIR ELDERS AND SO THE CONVERSATION WAS ENDED
1255-74899-0016	WITH HER THERE WAS A REAL WISH THAT THE POLES MIGHT BE JOINED TOGETHER BY HER FUTURE HUSBAND
1255-74899-0017	IF YOU REALLY WISH IT YOU SHALL GO HE SAID
1255-74899-0018	AND A BLUE ONE TO BE MARRIED IN ALAS ME
1255-74899-0019	MUST I HAVE A PINK SILK GOWN TO WALK ABOUT IN EARLY IN THE MORNING
1255-74899-0020	I'D SOONER SEE YOU DARNING MY WORSTED STOCKINGS SWEETHEART
1255-74899-0021	I CAN DO THAT TOO
1255-74899-0022	AND NOW I'LL SIT DOWN AND WRITE A LETTER TO MY LORD
1255-90407-0000	HE HOPED NOTHING SERIOUS HAD HAPPENED TO DRAG HER OUT AT SUCH AN UNTOWARD TIME
1255-90407-0001	BUT AS THE RAIN GAVE NOT THE LEAST SIGN OF CESSATION HE OBSERVED I THINK WE SHALL HAVE TO GO BACK NEVER
1255-90407-0002	WHY NOT HE INQUIRED
1255-90407-0003	I CANNOT UNDERSTAND HOW YOU SHOULD KNOW ME WHILE I HAVE NO KNOWLEDGE OF YOU
1255-90407-0004	OH BUT YOU KNOW ME ABOUT ME AT LEAST
1255-90407-0005	I SHOULD THINK SO
1255-90407-0006	HE'S MY FATHER INDEED
1255-90407-0007	BUT WE HAVE BEEN TENANTS OF SYLVANIA CASTLE ON THE ISLAND HERE THIS SEASON
1255-90407-0008	MY FATHER'S IS A COMPARATIVELY HUMBLE RESIDENCE HARD BY
1255-90407-0009	BUT HE COULD AFFORD A MUCH BIGGER ONE IF HE CHOSE
1255-90407-0010	YOU HAVE HEARD SO
1255-90407-0011	I DON'T KNOW HE DOESN'T TELL ME MUCH OF HIS AFFAIRS
1255-90407-0012	MY FATHER SHE BURST OUT SUDDENLY IS ALWAYS SCOLDING ME FOR MY EXTRAVAGANCE
1255-90407-0013	WAS THAT THIS EVENING
1255-90407-0014	AND THERE ON THE NETS THEY SAT
1255-90407-0015	JOCELYN THOUGHT IT STRANGE THAT HE SHOULD BE THROWN BY FATE INTO A POSITION TO PLAY THE SON OF THE MONTAGUES TO THIS DAUGHTER OF THE CAPULETS
1255-90407-0016	NO I SHALL GO ON AND GET A LODGING IN BUDMOUTH TOWN IF EVER I REACH IT
1255-90407-0017	IT IS SO LATE THAT THERE WILL BE NO HOUSE OPEN EXCEPT A LITTLE PLACE NEAR THE STATION WHERE YOU WON'T CARE TO STAY
1255-90407-0018	THE ISLAND WAS AN ISLAND STILL
1255-90407-0019	THEY HAD NOT REALIZED THE FORCE OF THE ELEMENTS TILL NOW
1255-90407-0020	HE STEADIED HER BODILY BY ENCIRCLING HER WAIST WITH HIS ARM AND SHE MADE NO OBJECTION
1255-90407-0021	HE PITIED HER AND WHILE HE WONDERED AT IT ADMIRED HER DETERMINATION
1255-90407-0022	THEIR APPLICATION FOR ADMISSION LED TO THE WITHDRAWAL OF A BOLT AND THEY STOOD WITHIN THE GASLIGHT OF THE PASSAGE
1255-90407-0023	HE COULD SEE NOW THAT THOUGH SHE WAS SUCH A FINE FIGURE QUITE AS TALL AS HIMSELF SHE WAS BUT IN THE BLOOM OF YOUNG WOMANHOOD
1255-90407-0024	I WILL TELL THE SERVANT TO DO THIS AND SEND YOU UP SOMETHING TO EAT
1255-90407-0025	HE FELT RAVENOUSLY HUNGRY HIMSELF AND SET ABOUT DRYING HIS CLOTHES AS WELL AS HE COULD AND EATING AT THE SAME TIME
1255-90407-0026	BY THE AID OF SOME TEMPORARY WRAPS AND SOME SLIPPERS FROM THE CUPBOARD HE WAS CONTRIVING TO MAKE HIMSELF COMFORTABLE WHEN THE MAID SERVANT CAME DOWNSTAIRS WITH A DAMP ARMFUL OF WOMAN'S RAIMENT
1255-90407-0027	YOU ARE SLEEPY MY GIRL SAID PIERSTON
1255-90407-0028	HE AGAIN BECAME CONSCIOUS OF THE CHANGE WHICH HAD BEEN INITIATED DURING THE WALK
1255-90407-0029	THE WELL BELOVED WAS MOVING HOUSE HAD GONE OVER TO THE WEARER OF THIS ATTIRE
1255-90407-0030	AND HOW ABOUT LITTLE AVICE CARO
1255-90413-0000	SHE DRAWS CLOSE AND SATISFIES
1255-90413-0001	HE COULD NOT FORGET MISSUS PINE AVON'S EYES THOUGH HE REMEMBERED NOTHING OF HER OTHER FACIAL DETAILS
1255-90413-0002	AFTERWARDS THEY KEPT APART AWHILE IN THE DRAWING ROOM FOR FORM'S SAKE BUT EVENTUALLY GRAVITATED TOGETHER AGAIN AND FINISHED THE EVENING IN EACH OTHER'S COMPANY
1255-90413-0003	BUT THIS WAS NOT ALL
1255-90413-0004	BUT WAS HE ABLE
1255-90413-0005	IT WAS UNFAIR TO GO FURTHER WITHOUT TELLING HER EVEN THOUGH HITHERTO SUCH EXPLICITNESS HAD NOT BEEN ABSOLUTELY DEMANDED
1255-90413-0006	HE DETERMINED TO CALL IMMEDIATELY ON THE NEW INCARNATION
1255-90413-0007	SHE LIVED NOT FAR FROM THE LONG FASHIONABLE HAMPTONSHIRE SQUARE AND HE WENT THITHER WITH EXPECTATIONS OF HAVING A HIGHLY EMOTIONAL TIME AT LEAST
1255-90413-0008	BUT SOMEHOW THE VERY BELL PULL SEEMED COLD ALTHOUGH SHE HAD SO EARNESTLY ASKED HIM TO COME
1255-90413-0009	RAISING HER EYES IN A SLIGHTLY INQUIRING MANNER FROM THE BOOK SHE WAS READING SHE LEANT BACK IN THE CHAIR AS IF SOAKING HERSELF IN LUXURIOUS SENSATIONS WHICH HAD NOTHING TO DO WITH HIM AND REPLIED TO HIS GREETING WITH A FEW COMMONPLACE WORDS
1255-90413-0010	JUST AS THEY TURN MADEIRA INTO PORT IN THE SPACE OF A SINGLE NIGHT SO THIS OLD AIR HAS BEEN TAKEN AND DOCTORED AND TWISTED ABOUT AND BROUGHT OUT AS A NEW POPULAR DITTY INDEED
1255-90413-0011	SHE THAWED A LITTLE AND THEN THEY WENT ON TO TALK ABOUT HER HOUSE WHICH HAD BEEN NEWLY PAINTED AND DECORATED WITH GREENISH BLUE SATIN UP TO THE HEIGHT OF A PERSON'S HEAD AN ARRANGEMENT THAT SOMEWHAT IMPROVED HER SLIGHTLY FADED THOUGH STILL PRETTY FACE AND WAS HELPED BY THE AWNINGS OVER THE WINDOWS
1255-90413-0012	YES I HAVE HAD MY HOUSE SOME YEARS SHE OBSERVED COMPLACENTLY AND I LIKE IT BETTER EVERY YEAR
1255-90413-0013	DON'T YOU FEEL LONELY IN IT SOMETIMES O NEVER
1255-90413-0014	WHAT AN UNCIVIL THING TO SAY SHE MURMURED IN SURPRISE
1255-90413-0015	IT IS RATHER UNCIVIL
1255-90413-0016	AS A PUNISHMENT SHE DID NOT RING THE BELL BUT LEFT HIM TO FIND HIS WAY OUT AS HE COULD
1255-90413-0017	I SAW HIM AT LADY CHANNELCLIFFE'S THE OTHER NIGHT
1255-90413-0018	JOCELYN PIERSTON
1255-90413-0019	O DIDN'T HE MARRY HER
1255-90413-0020	SAID MISSUS PINE AVON WITH A START
1255-90413-0021	BUT JOCELYN WAS RECEDING FROM THE PRETTY WIDOW'S HOUSE WITH LONG STRIDES
1255-90413-0022	LADY IRIS HAD LEFT THE DRAWING ROOM FOR A MOMENT TO SEE THAT ALL WAS RIGHT IN THE DINING ROOM AND WHEN HE WAS SHOWN IN THERE STOOD ALONE IN THE LAMPLIGHT NICHOLA PINE AVON
1255-90413-0023	SHE HAD BEEN THE FIRST ARRIVAL
1255-90413-0024	AS THE OTHER GUESTS DROPPED IN THE PAIR RETREATED INTO A SHADY CORNER AND SHE TALKED BESIDE HIM TILL ALL MOVED OFF FOR THE EATING AND DRINKING
1255-90413-0025	HE HAD NOT BEEN APPOINTED TO TAKE HER ACROSS TO THE DINING ROOM BUT AT THE TABLE FOUND HER EXACTLY OPPOSITE
1255-90413-0026	THE SPRING IN THE PRESENT CASE WAS THE ARTISTIC COMMENDATION SHE DESERVED AND CRAVED
1255-90413-0027	THE LADY ON JOCELYN'S LEFT WIFE OF A LORD JUSTICE OF APPEAL WAS IN LIKE MANNER TALKING TO HER COMPANION ON THE OUTER SIDE SO THAT FOR THE TIME HE WAS LEFT TO HIMSELF
1255-90413-0028	IT CAME FROM THE WIFE OF ONE OF HIS FATHER'S FORMER WORKMEN AND WAS CONCERNING HER SON WHOM SHE BEGGED JOCELYN TO RECOMMEND AS CANDIDATE FOR SOME POST IN TOWN THAT SHE WISHED HIM TO FILL
1630-102884-0000	IN MY RECENT TRAVELS IN THE WEST I HAVE FELT THAT OUT THERE FREEDOM AS AN IDEA HAS BECOME FEEBLE AND INEFFECTUAL
1630-102884-0001	THE SAME THING IS HAPPENING NOW WITH THE PEOPLE OF THE WEST
1630-102884-0002	THEY ARE FLATTERED INTO BELIEVING THAT THEY ARE FREE AND THEY HAVE THE SOVEREIGN POWER IN THEIR HANDS
1630-102884-0003	THUS IT HAS BECOME MORE AND MORE EVIDENT TO ME THAT THE IDEAL OF FREEDOM HAS GROWN TENUOUS IN THE ATMOSPHERE OF THE WEST
1630-102884-0004	THE MENTALITY IS THAT OF A SLAVE OWNING COMMUNITY WITH A MUTILATED MULTITUDE OF MEN TIED TO ITS COMMERCIAL AND POLITICAL TREADMILL
1630-102884-0005	HE WHO CARES TO HAVE SLAVES MUST CHAIN HIMSELF TO THEM HE WHO BUILDS WALLS TO CREATE EXCLUSION FOR OTHERS BUILDS WALLS ACROSS HIS OWN FREEDOM HE WHO DISTRUSTS FREEDOM IN OTHERS LOSES HIS MORAL RIGHT TO IT
1630-102884-0006	HAVE THEY ACQUIRED A TRUE LOVE OF FREEDOM
1630-102884-0007	THE GREAT EPIC OF THE SOUL OF OUR PEOPLE THE MAHABHARATA GIVES US A WONDERFUL VISION OF AN OVERFLOWING LIFE FULL OF THE FREEDOM OF INQUIRY AND EXPERIMENT
1630-102884-0008	WHEN THE AGE OF THE BUDDHA CAME HUMANITY WAS STIRRED IN OUR COUNTRY TO ITS UTTERMOST DEPTH
1630-102884-0009	IT HARDENED INTO AN AGE OF INERT CONSTRUCTION
1630-102884-0010	THE ORGANIC UNITY OF A VARIED AND ELASTIC SOCIETY GAVE WAY TO A CONVENTIONAL ORDER WHICH PROVED ITS ARTIFICIAL CHARACTER BY ITS INEXORABLE LAW OF EXCLUSION
1630-102884-0011	LIFE HAS ITS INEQUALITIES I ADMIT BUT THEY ARE NATURAL AND ARE IN HARMONY WITH OUR VITAL FUNCTIONS
1630-102884-0012	BY SQUEEZING HUMAN BEINGS IN THE GRIP OF AN INELASTIC SYSTEM AND FORCIBLY HOLDING THEM FIXED WE HAVE IGNORED THE LAWS OF LIFE AND GROWTH
1630-102884-0013	WE HAVE FORCED LIVING SOULS INTO A PERMANENT PASSIVITY MAKING THEM INCAPABLE OF MOULDING CIRCUMSTANCE TO THEIR OWN INTRINSIC DESIGN AND OF MASTERING THEIR OWN DESTINY
1630-102884-0014	OUR STUPEFACTION HAS BECOME SO ABSOLUTE THAT WE DO NOT EVEN REALISE THAT THIS PERSISTENT MISFORTUNE DOGGING OUR STEPS FOR AGES CANNOT BE A MERE ACCIDENT OF HISTORY REMOVABLE ONLY BY ANOTHER ACCIDENT FROM OUTSIDE
1630-102884-0015	THEY WILL BE INCAPABLE OF HOLDING A JUST FREEDOM IN POLITICS AND OF FIGHTING IN FREEDOM'S CAUSE
1630-102884-0016	IT REPRESENTS THE ACTIVE ASPECT OF INERTIA WHICH HAS THE APPEARANCE OF FREEDOM BUT NOT ITS TRUTH AND THEREFORE GIVES RISE TO SLAVERY BOTH WITHIN ITS BOUNDARIES AND OUTSIDE
1630-141772-0000	ON THE PRATZEN HEIGHTS WHERE HE HAD FALLEN WITH THE FLAGSTAFF IN HIS HAND LAY PRINCE ANDREW BOLKONSKI BLEEDING PROFUSELY AND UNCONSCIOUSLY UTTERING A GENTLE PITEOUS AND CHILDLIKE MOAN
1630-141772-0001	SUDDENLY HE AGAIN FELT THAT HE WAS ALIVE AND SUFFERING FROM A BURNING LACERATING PAIN IN HIS HEAD
1630-141772-0002	WAS HIS FIRST THOUGHT
1630-141772-0003	HE FEEBLY MOVED HIS LEG AND UTTERED A WEAK SICKLY GROAN WHICH AROUSED HIS OWN PITY
1630-141772-0004	LIFT THIS YOUNG MAN UP AND CARRY HIM TO THE DRESSING STATION
1630-141772-0005	PRINCE ANDREW REMEMBERED NOTHING MORE HE LOST CONSCIOUSNESS FROM THE TERRIBLE PAIN OF BEING LIFTED ONTO THE STRETCHER THE JOLTING WHILE BEING MOVED AND THE PROBING OF HIS WOUND AT THE DRESSING STATION
1630-141772-0006	DURING THIS TRANSFER HE FELT A LITTLE STRONGER AND WAS ABLE TO LOOK ABOUT HIM AND EVEN SPEAK
1630-141772-0007	HE ASKED ON SEEING THE PRISONERS
1630-141772-0008	I COMMANDED A SQUADRON REPLIED REPNIN
1630-141772-0009	PRINCE REPNIN NAMED LIEUTENANT SUKHTELEN
1630-141772-0010	AFTER LOOKING AT HIM NAPOLEON SMILED
1630-141772-0011	YOUTH IS NO HINDRANCE TO COURAGE MUTTERED SUKHTELEN IN A FAILING VOICE
1630-141772-0012	A SPLENDID REPLY SAID NAPOLEON
1630-141772-0013	PRINCE ANDREW WHO HAD ALSO BEEN BROUGHT FORWARD BEFORE THE EMPEROR'S EYES TO COMPLETE THE SHOW OF PRISONERS COULD NOT FAIL TO ATTRACT HIS ATTENTION
1630-141772-0014	HIS FACE SHONE WITH SELF SATISFACTION AND PLEASURE
1630-141772-0015	THE SOLDIERS WHO HAD CARRIED PRINCE ANDREW HAD NOTICED AND TAKEN THE LITTLE GOLD ICON PRINCESS MARY HAD HUNG ROUND HER BROTHER'S NECK BUT SEEING THE FAVOR THE EMPEROR SHOWED THE PRISONERS THEY NOW HASTENED TO RETURN THE HOLY IMAGE
1630-141772-0016	PRINCE ANDREW DID NOT SEE HOW AND BY WHOM IT WAS REPLACED BUT THE LITTLE ICON WITH ITS THIN GOLD CHAIN SUDDENLY APPEARED UPON HIS CHEST OUTSIDE HIS UNIFORM
1630-141772-0017	HOW GOOD IT WOULD BE TO KNOW WHERE TO SEEK FOR HELP IN THIS LIFE AND WHAT TO EXPECT AFTER IT BEYOND THE GRAVE
1630-141772-0018	HOW HAPPY AND CALM I SHOULD BE IF I COULD NOW SAY LORD HAVE MERCY ON ME
1630-141772-0019	EITHER TO A POWER INDEFINABLE INCOMPREHENSIBLE WHICH I NOT ONLY CANNOT ADDRESS BUT WHICH I CANNOT EVEN EXPRESS IN WORDS THE GREAT ALL OR NOTHING SAID HE TO HIMSELF OR TO THAT GOD WHO HAS BEEN SEWN INTO THIS AMULET BY MARY
1630-141772-0020	THE STRETCHERS MOVED ON
1630-141772-0021	THE QUIET HOME LIFE AND PEACEFUL HAPPINESS OF BALD HILLS PRESENTED ITSELF TO HIM
1630-141772-0022	HE IS A NERVOUS BILIOUS SUBJECT SAID LARREY AND WILL NOT RECOVER
1630-73710-0000	IT IS AT THE FOOT OF WOMAN THAT WE LAY THE LAURELS THAT WITHOUT HER SMILE WOULD NEVER HAVE BEEN GAINED IT IS HER IMAGE THAT STRINGS THE LYRE OF THE POET THAT ANIMATES OUR VOICE IN THE BLAZE OF ELOQUENT FACTION AND GUIDES OUR BRAIN IN THE AUGUST TOILS OF STATELY COUNCILS
1630-73710-0001	IS THERE NO HOPE FOR THEM SO FULL OF HOPE
1630-73710-0002	IT MAKES THE HEART ACHE BUT TO PICTURE SUCH VICISSITUDES TO THE IMAGINATION
1630-73710-0003	THE KNOWLEDGE THAT SUCH CHANGES CAN OCCUR FLITS OVER THE MIND LIKE THE THOUGHT OF DEATH OBSCURING ALL OUR GAY FANCIES WITH ITS BAT LIKE WING AND TAINTING THE HEALTHY ATMOSPHERE OF OUR HAPPINESS WITH ITS VENOMOUS EXPIRATIONS
1630-73710-0004	MINE OWN
1630-73710-0005	WHAT DID WHAT COULD YOU DO
1630-73710-0006	I BEAT ABOUT MY CHAMBER LIKE A SILLY BIRD IN A CAGE
1630-73710-0007	DO NOT THINK OF MOVING TO DAY
1630-73710-0008	DO NOT KEEP THE MESSENGER AN INSTANT
1630-73710-0009	HE IS ON MY PONY
1630-73710-0010	WRITE ONLY ONE WORD TO YOUR OWN HENRIETTA
1630-73710-0011	FERDINAND TO HENRIETTA
1630-73710-0012	GOD BLESS YOU MY HENRIETTA MY BELOVED MY MATCHLESS HENRIETTA
1630-73710-0013	WHAT HAS THAT SEPARATION NOT COST ME
1630-73710-0014	PANGS THAT I COULD NOT CONCEIVE ANY HUMAN MISERY COULD OCCASION
1630-73710-0015	AND YET I OUGHT TO BE GRATEFUL THAT HE WAS UNINJURED LAST NIGHT
1630-73710-0016	I DARE NOT NOW OWN HOW FOOLISH I WAS
1630-73710-0017	DO NOT BE ANGRY WITH YOUR HENRIETTA BUT I AM NERVOUS ABOUT CONCEALING OUR ENGAGEMENT FROM PAPA
1630-73710-0018	DAYS MUST ELAPSE BEFORE YOU CAN REACH BATH AND I KNOW FERDINAND I KNOW YOUR OFFICE IS MORE DIFFICULT THAN YOU WILL CONFESS
1630-73710-0019	BUT COME BACK MY OWN AS SOON AS YOU CAN AND WRITE TO ME AT THE POST OFFICE AS YOU SETTLED
1630-73710-0020	THE CONSCIOUSNESS THAT YOU ARE SO NEAR MAKES ME RESTLESS
1630-73710-0021	I WISH TO MEET HIM WITH AS MUCH CALMNESS AS I CAN COMMAND
1630-96099-0000	THAT TOO SIR YOU WILL OF COURSE UNDERTAKE
1630-96099-0001	THEN SOMETHING HAS HAPPENED HE HAS SOME SPECIAL INFORMATION SOME GREAT NEWS
1630-96099-0002	WHEN BLOCK APPEARED IT WAS EVIDENT THAT SOMETHING HAD GONE WRONG WITH HIM
1630-96099-0003	GONE NOW JUST WHEN WE MOST WANT HIM NEVER
1630-96099-0004	IDIOT TRIPLE IDIOT
1630-96099-0005	YOU SHALL BE DISMISSED DISCHARGED FROM THIS HOUR YOU ARE A DISGRACE TO THE FORCE
1630-96099-0006	IT IS THAT OR YOUR GREAT GLUTTONY
1630-96099-0007	MY GENTLEMAN MADE HIMSELF MOST PLEASANT
1630-96099-0008	WELL AT ANY RATE FOR MY SINS I ACCEPTED
1630-96099-0009	WE ENTERED THE FIRST RESTAURANT THAT OF THE REUNITED FRIENDS YOU KNOW IT PERHAPS MONSIEUR
1630-96099-0010	I HAD NO FEAR OF HIM NOT TILL THE VERY LAST WHEN HE PLAYED ME THIS EVIL TURN
1630-96099-0011	I SUSPECTED NOTHING WHEN HE BROUGHT OUT HIS POCKETBOOK IT WAS STUFFED FULL MONSIEUR I SAW THAT AND MY CONFIDENCE INCREASED CALLED FOR THE RECKONING AND PAID WITH AN ITALIAN BANK NOTE
1630-96099-0012	EXCUSE ME ONE MOMENT PRAY
1630-96099-0013	HE WENT OUT MONSIEUR AND PIFF PAFF HE WAS NO MORE TO BE SEEN
1630-96099-0014	WHY LET HIM OUT OF YOUR SIGHT
1630-96099-0015	IT WAS ONLY NOW AT THE ELEVENTH HOUR THAT THE ITALIAN HAD BECOME INCULPATED AND THE QUESTION OF HIS POSSIBLE ANXIETY TO ESCAPE HAD NEVER BEEN CONSIDERED
1630-96099-0016	HE LEFT EVERYTHING BEHIND
1630-96099-0017	HAND IT ME SAID THE CHIEF AND WHEN IT CAME INTO HIS HANDS HE BEGAN TO TURN OVER THE LEAVES HURRIEDLY
1630-96099-0018	I DO NOT UNDERSTAND NOT MORE THAN A WORD HERE AND THERE
1630-96099-0019	IT IS NO DOUBT ITALIAN
1630-96099-0020	OF COURSE SUCH A CONSUMMATE ASS AS YOU HAVE PROVED YOURSELF WOULD NOT THINK OF SEARCHING THE RESTAURANT OR THE IMMEDIATE NEIGHBOURHOOD OR OF MAKING INQUIRIES AS TO WHETHER HE HAD BEEN SEEN OR AS TO WHICH WAY HE HAD GONE
1630-96099-0021	IT WAS A NOTE FOR A HUNDRED LIRE A HUNDRED FRANCS AND THE RESTAURANT BILL WAS NO MORE THAN SEVENTEEN FRANCS HAH
1630-96099-0022	HE WAS MUCH PRESSED IN A GREAT HURRY
1630-96099-0023	DIRECTLY HE CROSSED THE THRESHOLD HE CALLED THE FIRST CAB AND WAS DRIVING AWAY BUT HE WAS STOPPED THE DEVIL
1630-96099-0024	HE WISHED TO PASS ON TO LEAVE HER SHE WOULD NOT CONSENT THEN THEY BOTH GOT INTO THE CAB AND WERE DRIVEN AWAY TOGETHER
1650-157641-0000	THE SOCIAL ATTITUDE TOWARDS SMOKING IN EARLY VICTORIAN DAYS AND FOR SOME TIME LATER WAS CURIOUS
1650-157641-0001	NOW MISSUS QUILP HE SAYS I FEEL IN A SMOKING HUMOUR AND SHALL PROBABLY BLAZE AWAY ALL NIGHT
1650-157641-0002	BUT SIT WHERE YOU ARE IF YOU PLEASE IN CASE I WANT YOU
1650-157641-0003	THE DWARF'S TASTES HOWEVER WERE CATHOLIC
1650-157641-0004	BUT QUILP AND BRASS WERE NOT IN SOCIETY
1650-157641-0005	THERE WERE STILL PLENTY OF ACTIVE OPPONENTS AND DENOUNCERS OF TOBACCO
1650-157641-0006	ONE OF THE MOST DISTINGUISHED WAS THE GREAT DUKE OF WELLINGTON WHO ABOMINATED SMOKING AND WAS ANNOYED BY THE INCREASE OF CIGAR SMOKING AMONG OFFICERS OF THE ARMY
1650-157641-0007	THE LADIES HAD A KEEN SCENT FOR THE ABOMINABLE ODOUR OF TOBACCO AND DISTRUSTED THE MEN WHO SMOKED
1650-157641-0008	HERE IS FITZ BOODLE'S OR THACKERAY'S COMMENT ON IT WHAT IS THIS SMOKING THAT IT SHOULD BE CONSIDERED A CRIME
1650-157641-0009	I BELIEVE IN MY HEART THAT WOMEN ARE JEALOUS OF IT AS OF A RIVAL
1650-157641-0010	I WOULD LAY A GUINEA THAT MANY A LADY WHO HAS JUST BEEN KIND ENOUGH TO READ THE ABOVE LINES LAYS DOWN THE BOOK AFTER THIS CONFESSION OF MINE THAT I AM A SMOKER AND SAYS OH THE VULGAR WRETCH AND PASSES ON TO SOMETHING ELSE
1650-157641-0011	GERMANY HAS BEEN PUFFING FOR THREE SCORE YEARS FRANCE SMOKES TO A MAN
1650-157641-0012	PSHA LOOK AT HIS PROGRESS
1650-157641-0013	THUS THE ODOUR OF TOBACCO WAS NOT BROUGHT INTO THE DRAWING ROOM
1650-157641-0014	THE JOURNALISTS AND BOHEMIANS WHO MET AT THE COGERS WERE ABOVE OR BELOW THE DICTATES OF FASHION AND SMOKING WAS ALWAYS A FEATURE OF THEIR GATHERINGS
1650-157641-0015	BOTH QUEEN VICTORIA AND THE PRINCE CONSORT DETESTED IT SO TOBACCO WAS TABOO WHEREVER THE COURT WAS
1650-167613-0000	THE OFFICERS WERE ABOUT TO TAKE LEAVE BUT PRINCE ANDREW APPARENTLY RELUCTANT TO BE LEFT ALONE WITH HIS FRIEND ASKED THEM TO STAY AND HAVE TEA
1650-167613-0001	SEATS WERE BROUGHT IN AND SO WAS THE TEA
1650-167613-0002	THE OFFICERS GAZED WITH SURPRISE AT PIERRE'S HUGE STOUT FIGURE AND LISTENED TO HIS TALK OF MOSCOW AND THE POSITION OF OUR ARMY ROUND WHICH HE HAD RIDDEN
1650-167613-0003	SO YOU UNDERSTAND THE WHOLE POSITION OF OUR TROOPS
1650-167613-0004	NOT BEING A MILITARY MAN I CAN'T SAY I HAVE UNDERSTOOD IT FULLY BUT I UNDERSTAND THE GENERAL POSITION
1650-167613-0005	WELL THEN YOU KNOW MORE THAN ANYONE ELSE BE IT WHO IT MAY SAID PRINCE ANDREW
1650-167613-0006	AND TELL ME YOUR OPINION OF BARCLAY DE TOLLY
